num. bola,x,y
1,282,305
2,171,322
3,283,186
4,170,193
5,286,62
6,168,58
7,349,331
8,234,351
9,354,203
10,231,211
11,355,63
12,229,60
13,428,362
14,305,386
15,434,222
16,309,233
17,439,71
18,310,67
19,528,401
20,401,434
21,536,245
22,403,261
23,547,77
24,410,76
25,649,450
26,522,494
27,664,275
28,532,296
29,679,86
30,541,86
