num. bola,x,y
1,717,321
2,612,301
3,727,200
4,620,186
5,740,69
6,629,65
7,652,342
8,543,319
9,665,211
10,550,193
11,677,68
12,558,60
13,577,372
14,462,341
15,587,224
16,466,203
17,597,63
18,474,59
19,479,404
20,363,368
21,489,241
22,366,217
23,498,59
24,368,55
25,356,448
26,238,403
27,363,262
28,234,230
29,368,56
30,236,47
