num. bola,x,y
1,139,418
2,245,474
3,135,240
4,245,271
5,129,44
6,245,51
7,287,384
8,398,425
9,288,224
10,402,247
11,287,51
12,405,56
13,404,353
14,514,390
15,408,210
16,521,232
17,416,55
18,531,60
19,501,331
20,609,361
21,508,199
22,619,219
23,514,59
24,632,65
25,585,311
26,686,335
27,588,191
28,697,208
29,598,64
30,708,68
